areas,districts,lat,lng
 即墨,即墨区,36.394749,120.453536
 香江路,黄岛区,35.978126,120.177032
 薛家岛,黄岛区,35.968361,120.228023
 李沧万达,李沧区,36.172483,120.439694
 唐岛湾,黄岛区,35.95482,120.2099
 夏庄,城阳区,36.266738,120.467617
 女姑,城阳区,36.263046,120.374348
 石老人,崂山区,36.098725,120.475153
 胶南,黄岛区,35.852858,119.85631
 四方实验小区,市北区,36.109152,120.386909
 错埠岭,市北区,36.102144,120.391952
 流亭,城阳区,36.272988,120.39353
 新都心,市北区,36.115066,120.397727
 下王埠,李沧区,36.185959,120.440487
 八大湖,市南区,36.086131,120.396079
 北仲,市北区,36.087966,120.368808
 十梅庵,李沧区,36.213549,120.423643
 国信体育场,崂山区,36.108614,120.452662
 台东,市北区,36.088109,120.358988
 东方影都,黄岛区,35.916811,120.117782
 镇江路,市北区,36.09247,120.372772
 理工大学,市北区,36.10661,120.378044
 海泊河,市北区,36.098538,120.381466
 团岛,市南区,36.05213,120.294693
 合肥路佳世客,市北区,36.117157,120.419886
 河南,即墨区,36.352911,120.48922
 书院路,李沧区,36.160302,120.425486
 崂山CBD,市南区,36.095675,120.400139
 金沙滩,黄岛区,35.966169,120.251193
 保税区,黄岛区,35.991132,120.181148
 北村,崂山区,36.123439,120.435309
 胶州,胶州市,36.270347,120.039532
 黄岛区政府,黄岛区,35.877851,120.052957
 瑞阳路,城阳区,36.317767,120.44426
 中央CBD,市北区,36.099866,120.374978
 同安路,市北区,36.114946,120.45529
 枣儿山,李沧区,36.153248,120.452025
 惜福镇,城阳区,36.315621,120.489692
 辛安,黄岛区,36.024572,120.14388
 榉林公园,市北区,36.079037,120.363306
 远洋广场,市南区,36.071056,120.404293
 海云庵,市北区,36.117854,120.355553
 天山银海,市南区,36.089098,120.413308
 浮山后,市北区,36.112449,120.432448
 新贵都,市南区,36.074821,120.393915
 家佳源,黄岛区,35.95746,120.191923
 石油大学,黄岛区,35.944289,120.186098
 田家花园,市南区,36.08818,120.400647
 水清沟,市北区,36.138206,120.379813
 积米崖,黄岛区,35.931324,120.167781
 闫家山,市北区,36.147211,120.407042
 雕塑园,崂山区,36.085862,120.461222
 大尧,市南区,36.080144,120.407023
 福州北路,市北区,36.093692,120.405281
 汽车东站,崂山区,36.122372,120.457444
 河西,市北区,lat,120.410235
 农业大学,城阳区,36.320932,120.403185
 福安,平度市,36.804999,119.99196
 李村公园,李沧区,36.173487,120.432611
 麦岛,崂山区,36.071886,120.430131
 湖岛,市北区,36.131311,120.353949
 啤酒街,市北区,36.085981,120.356311
 大沙路,市北区,36.142124,120.367407
 西镇,市南区,36.06762,120.314415
 沧口公园,李沧区,36.191176,120.39637
 湛山,市南区,36.067895,120.379835
 北岭,市北区,36.125849,120.369237
 城阳立交,城阳区,36.331974,120.427934
 绿城,李沧区,36.180468,120.458133
 西姜,崂山区,36.105893,120.533973
 世纪公园,城阳区,36.290159,120.40654
 黄岛港,黄岛区,36.024768,120.211202
 大学路,市南区,36.068952,120.340689
 灵山卫,黄岛区,35.939269,120.158067
 世园会,李沧区,36.206445,120.510328
 东李,李沧区,36.163754,120.445218
 八大关,市南区,36.059835,120.363506
 沙岭庄,市北区,36.147173,120.365496
 天泰,城阳区,36.225243,120.434443
 科技大学,市北区,36.153381,120.394115
 城阳实验二小,城阳区,36.317235,120.420021
 东南山,李沧区,36.170498,120.413301
 张村,崂山区,lat,120.479532
 奥帆中心,市南区,36.06317,120.403491
 大港小港,市北区,36.081599,120.324193
 辛家庄,市南区,36.072099,120.411284
 五四广场,市南区,36.068914,120.391559
 青岛北站,李沧区,36.176092,120.382925
 老鸦岭,李沧区,36.160247,120.473424
 沙子口,崂山区,36.121535,120.552763
 闽江路,市南区,36.074719,120.409492
 午山,崂山区,36.123861,120.509851
 中山公园,市南区,36.067228,120.356829
 西韩,崂山区,36.137475,120.425684
 松山后,崂山区,36.147936,120.529667
 娄山后,李沧区,36.218498,120.39587
 文登路,市南区,36.067041,120.356659
 火车站,市南区,36.070725,120.320641
 太阳城,城阳区,36.312421,120.396804
 黄岛轮渡,市北区,36.054586,120.240652
